"naziv","wikipedija","vrsta_instrumenta","zemlja_podrijetla","stoljeće_pojave","glazbeni_žanrovi","način_sviranja","najpoznatiji_izvođači","najpoznatiji_proizvođači","dio","materijal"
"Električna gitara","Elektri%C4%8Dna_gitara","Kordofon","Amerika",20,"{Pop,Rock,Jazz,Blues}","Trzanjem trzalicom po žicama","{""Jimi Hendrix"",""Eric Clapton"",""Jimmy Page"",""Jeff Beck""}","{Gibson,Fender,Ibanez,Epiphone}","Žice","Metal"
"Električna gitara","Elektri%C4%8Dna_gitara","Kordofon","Amerika",20,"{Pop,Rock,Jazz,Blues}","Trzanjem trzalicom po žicama","{""Jimi Hendrix"",""Eric Clapton"",""Jimmy Page"",""Jeff Beck""}","{Gibson,Fender,Ibanez,Epiphone}","Glava","Drvo"
"Električna gitara","Elektri%C4%8Dna_gitara","Kordofon","Amerika",20,"{Pop,Rock,Jazz,Blues}","Trzanjem trzalicom po žicama","{""Jimi Hendrix"",""Eric Clapton"",""Jimmy Page"",""Jeff Beck""}","{Gibson,Fender,Ibanez,Epiphone}","Tijelo","Drvo"
"Električna gitara","Elektri%C4%8Dna_gitara","Kordofon","Amerika",20,"{Pop,Rock,Jazz,Blues}","Trzanjem trzalicom po žicama","{""Jimi Hendrix"",""Eric Clapton"",""Jimmy Page"",""Jeff Beck""}","{Gibson,Fender,Ibanez,Epiphone}","Vrat","Drvo"
"Klasična gitara","Classical_guitar","Kordofon","Španjolska",18,"{Klasika,Tango}","Trzanjem prstima po žicama","{""Joaquín Rodrigo""}","{Cordoba,YAMAHA}","Prve tri žice","Najlon"
"Klasična gitara","Classical_guitar","Kordofon","Španjolska",18,"{Klasika,Tango}","Trzanjem prstima po žicama","{""Joaquín Rodrigo""}","{Cordoba,YAMAHA}","Druge tri žice","Metal"
"Klasična gitara","Classical_guitar","Kordofon","Španjolska",18,"{Klasika,Tango}","Trzanjem prstima po žicama","{""Joaquín Rodrigo""}","{Cordoba,YAMAHA}","Glava","Drvo"
"Klasična gitara","Classical_guitar","Kordofon","Španjolska",18,"{Klasika,Tango}","Trzanjem prstima po žicama","{""Joaquín Rodrigo""}","{Cordoba,YAMAHA}","Tijelo","Drvo"
"Klasična gitara","Classical_guitar","Kordofon","Španjolska",18,"{Klasika,Tango}","Trzanjem prstima po žicama","{""Joaquín Rodrigo""}","{Cordoba,YAMAHA}","Vrat","Drvo"
"Klavir","Klavir","Glazbala s tipkama","Italija",18,"{Klasika}","Pritiskanjem tipki batić udara po žicama","{""Wolfgang Amadeus Mozart"",""Johann Sebastian Bach"",""Ludwig van Beethoven""}","{FAZIOLI,Grotrian}","Tipke","Slonovača"
"Klavir","Klavir","Glazbala s tipkama","Italija",18,"{Klasika}","Pritiskanjem tipki batić udara po žicama","{""Wolfgang Amadeus Mozart"",""Johann Sebastian Bach"",""Ludwig van Beethoven""}","{FAZIOLI,Grotrian}","Žice","Metal"
"Klavir","Klavir","Glazbala s tipkama","Italija",18,"{Klasika}","Pritiskanjem tipki batić udara po žicama","{""Wolfgang Amadeus Mozart"",""Johann Sebastian Bach"",""Ludwig van Beethoven""}","{FAZIOLI,Grotrian}","Kućište","Drvo"
"Klavir","Klavir","Glazbala s tipkama","Italija",18,"{Klasika}","Pritiskanjem tipki batić udara po žicama","{""Wolfgang Amadeus Mozart"",""Johann Sebastian Bach"",""Ludwig van Beethoven""}","{FAZIOLI,Grotrian}","Pedale","Metal"
"Tambura","Tambura","Kordofon","Hrvatska",14,"{Pop,""Narodna glazba"",Jazz}","Trzanjem trzalicom po žicama","{""Mijo Majer"",""Milan Stahuljak"",""Siniša Leopold""}","{Molnar,""Kudlik Bela"",Križanec}","Žice","Metal"
"Tambura","Tambura","Kordofon","Hrvatska",14,"{Pop,""Narodna glazba"",Jazz}","Trzanjem trzalicom po žicama","{""Mijo Majer"",""Milan Stahuljak"",""Siniša Leopold""}","{Molnar,""Kudlik Bela"",Križanec}","Glava","Drvo"
